processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBCM17642-19	MK887523	10878721	Eve_Severobaikalsk_S4		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									55.6181	109.354							Russia													
GBCM17649-19	MK887535	10878728	Eve_Solontsovyi_Sol2		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.1168	108.285							Russia													
GBCM17652-19	MK887538	10878731	Eve_Solontsovyi_Sol5		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.1168	108.285							Russia													
GBCM17653-19	MK887539	10878732	Eve_Solontsovyi_Sol6		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.1168	108.285							Russia													
GBCM17655-19	MK887541	10878734	Eve_Solontsovyi_Sol8		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									54.1168	108.285							Russia													
GBCM17660-19	MK887546	10878739	Eve_Svyatoy_Nos_SN2		Mined from GenBank, NCBI		BOLD:AAY3465	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.6916	108.696							Russia													
GBCM17663-19	MK887549	10878742	Eve_Svyatoy_Nos_SN5		Mined from GenBank, NCBI		BOLD:AAY3465	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.6916	108.696							Russia													
GBCM17670-19	MK887558	10878749	Eve_UlanNur_UN4		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									52.8333	106.709							Russia													
GBCM17671-19	MK887559	10878750	Eve_UstBarguzin_UB1		Mined from GenBank, NCBI		BOLD:AAY3465	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									53.3784	108.982							Russia													
GBCM17683-19	MK887567	10878762	Eve_Warnachka_W3		Mined from GenBank, NCBI		BOLD:ADC7414	20	Arthropoda	69	Malacostraca	326	Amphipoda	774726	Eulimnogammaridae	527072	Eulimnogammarinae	5286	Eulimnogammarus	303258	Eulimnogammarus verrucosus																									51.9036	105.102							Russia													
